Epoch	Loss	accuracy
0	0.0002834402257576585	0.14643342792987823
1	0.00027654218138195574	0.19076061248779297
2	0.0002760215138550848	0.20149827003479004
3	0.0002685041690710932	0.20618601143360138
4	0.00023958842211868614	0.22275502979755402
5	0.00021413977083284408	0.2370629459619522
6	0.00019900423649232835	0.2469807118177414
7	0.0001881969510577619	0.2504919767379761
8	0.00018150192045141011	0.2549580931663513
9	0.00017620100697968155	0.2596715986728668
