Epoch	Loss	Accuracy
0	0.0002825824776664376	0.17237409949302673
1	0.00027607192168943584	0.2012483924627304
2	0.00027195047005079687	0.2025884985923767
3	0.00024618813768029213	0.22177496552467346
4	0.000218221393879503	0.23503147065639496
5	0.00020143746223766357	0.24425078928470612
6	0.0001906665856949985	0.25147730112075806
7	0.00018280498625244945	0.2556135058403015
8	0.0001773936382960528	0.2605084180831909
9	0.0001725992769934237	0.2616157829761505
10	0.00016925318050198257	0.26464763283729553
11	0.00016648396558593959	0.26429301500320435
12	0.00016368678188882768	0.26848670840263367
13	0.0001620438852114603	0.26944053173065186
14	0.00016065467207226902	0.2696267366409302
15	0.0001590297179063782	0.27092424035072327
16	0.00015812975470907986	0.27253177762031555
17	0.00015691672160755843	0.2699575424194336
18	0.00015584402717649937	0.2716968059539795
19	0.00015512356185354292	0.2720414996147156
20	0.00015420079580508173	0.27445924282073975
21	0.00015393637295346707	0.27344799041748047
22	0.00015315225755330175	0.27520111203193665
