Epoch	Loss	Accuracy
0	0.0002572100202087313	0.21594390273094177
1	0.00021413360082078725	0.23301072418689728
2	0.00018976959108840674	0.2404002696275711
3	0.00017297187878284603	0.25089141726493835
4	0.00016052689170464873	0.2647309899330139
5	0.00015144383360166103	0.27281102538108826
6	0.00014252829714678228	0.28449302911758423
7	0.00013606650463771075	0.2929251492023468
8	0.0001284750469494611	0.3022764027118683
9	0.00012211558350827545	0.3099251687526703
10	0.00011631392408162355	0.3193613290786743
11	0.00010957491758745164	0.32667165994644165
12	0.00010597493383102119	0.3298366665840149
13	9.923164907377213e-05	0.3439682722091675
14	9.379236871609464e-05	0.3532266914844513
15	9.039754513651133e-05	0.35701656341552734
16	8.552357030566782e-05	0.36642101407051086
17	8.083772263489664e-05	0.374141126871109
18	7.701143476879224e-05	0.3825012147426605
19	7.360327435890213e-05	0.38923490047454834
20	6.918745930306613e-05	0.4006214439868927
21	6.79167642374523e-05	0.4032861292362213
22	6.502195174107328e-05	0.4119163155555725
23	6.25353422947228e-05	0.418374240398407
24	5.994750972604379e-05	0.42560872435569763
25	5.742599387303926e-05	0.43118029832839966
26	5.587959458352998e-05	0.43762466311454773
27	5.27296906511765e-05	0.44686952233314514
28	5.276856245473027e-05	0.4479086697101593
29	5.082666757516563e-05	0.45464393496513367
