Epoch	Loss	custom_mse
0	0.06283477693796158	0.06283477693796158
1	0.024791516363620758	0.024792032316327095
2	0.025789836421608925	0.025789836421608925
3	0.054942358285188675	0.054942358285188675
4	0.054301705211400986	0.054301705211400986
5	0.0550939105451107	0.0550939105451107
6	0.039988547563552856	0.039988547563552856
7	0.03729917109012604	0.03729917109012604
8	0.05657046288251877	0.05657046288251877
9	0.06149015575647354	0.06149015575647354
10	0.0616675466299057	0.0616675466299057
11	0.09839759767055511	0.09839759767055511
