Epoch	Loss	Accuracy
0	0.009116951376199722	0.9450991153717041
1	0.006942728068679571	0.9532923698425293
2	0.006804749369621277	0.9542205929756165
3	0.006384774576872587	0.9563837647438049
4	0.006174375768750906	0.9574716091156006
5	0.00604043435305357	0.958014965057373
6	0.005903908982872963	0.9587756395339966
7	0.00581178767606616	0.9591265916824341
8	0.005700255744159222	0.9597842693328857
9	0.005630142986774445	0.9599042534828186
10	0.00555441016331315	0.9603819251060486
11	0.005481712985783815	0.9606581330299377
12	0.005464645568281412	0.9606264233589172
13	0.005380354821681976	0.960946798324585
14	0.005303915124386549	0.9613010883331299
15	0.00526792649179697	0.9615569114685059
16	0.005220073740929365	0.961611270904541
17	0.005215678829699755	0.9614901542663574
18	0.005099722649902105	0.9622564911842346
19	0.00510412035509944	0.9619814157485962
20	0.005081656388938427	0.9620980024337769
21	0.005017096642404795	0.9625157117843628
22	0.005041748750954866	0.9621987342834473
23	0.0049985311925411224	0.9623945951461792
24	0.004897390026599169	0.963026225566864
25	0.0048917545937001705	0.9629594683647156
26	0.004839475266635418	0.9633443355560303
27	0.004839796107262373	0.9632322192192078
28	0.004759085830301046	0.9637778401374817
29	0.004774379078298807	0.9633352756500244
