Epoch	Loss	Accuracy
0	0.0024494437966495752	0.7121158242225647
1	0.0019279624102637172	0.7307196259498596
2	0.001753884251229465	0.7375544905662537
3	0.0016470178961753845	0.7424548268318176
4	0.001571850967593491	0.7465265393257141
5	0.0015135792782530189	0.7497074007987976
6	0.0014588526682928205	0.751478910446167
7	0.0014109717449173331	0.7531988024711609
8	0.0013579827500507236	0.7552767395973206
9	0.0013232670025900006	0.7563362717628479
10	0.0012828669277951121	0.757985532283783
11	0.0012375367805361748	0.7600151896476746
12	0.0012067907955497503	0.7616984248161316
13	0.0011728151002898812	0.7630647420883179
14	0.0011412689927965403	0.7654868960380554
15	0.0011115141678601503	0.767309308052063
16	0.0010862279450520873	0.7690958976745605
17	0.0010684310691431165	0.7702844738960266
18	0.0010308845667168498	0.7735366225242615
19	0.001017346978187561	0.7749403119087219
20	0.0009898702846840024	0.7767310738563538
21	0.0009700071532279253	0.778753936290741
22	0.0009647244005464017	0.7794851660728455
23	0.000941083359066397	0.7821181416511536
24	0.0009148032986558974	0.7852615118026733
25	0.0009057627175934613	0.7857223749160767
26	0.0008828968275338411	0.7883360981941223
27	0.0008707292145118117	0.7897069454193115
28	0.0008546265889890492	0.7918587923049927
29	0.0008528223261237144	0.7921735048294067
