Epoch	Loss	Accuracy
0	0.052735041826963425	0.9466441869735718
1	0.040032774209976196	0.9541014432907104
2	0.03768015652894974	0.955899178981781
3	0.035911496728658676	0.9573096036911011
4	0.03476588428020477	0.9581286907196045
5	0.03382258862257004	0.9589636921882629
6	0.033024512231349945	0.9595124125480652
7	0.032383885234594345	0.960067093372345
8	0.03189000487327576	0.9605692625045776
9	0.03160544112324715	0.9607821702957153
10	0.03117547370493412	0.9611219167709351
11	0.030994275584816933	0.9614834785461426
12	0.030780021101236343	0.9616221189498901
13	0.03060832805931568	0.9616864919662476
14	0.030497098341584206	0.9619172811508179
15	0.030310984700918198	0.9620678424835205
16	0.030286911875009537	0.962128221988678
17	0.030131999403238297	0.962217390537262
18	0.029984040185809135	0.9624095559120178
19	0.02986174263060093	0.9624432325363159
20	0.029814142733812332	0.9625521898269653
21	0.02959238365292549	0.9628978371620178
22	0.029684919863939285	0.9626571536064148
23	0.02952062338590622	0.96288001537323
24	0.029463132843375206	0.9629147052764893
25	0.02941635251045227	0.9629870057106018
